Date time,Minimum Temperature,Maximum Temperature,Temperature,Relative Humidity,Precipitation,Conditions
5/19/2000,55.2,63.2,58.5,84.07,0,Partially cloudy
5/20/2000,53.2,62.6,57,79.35,0,Partially cloudy
5/21/2000,54.4,66.8,58.8,75.47,0.11,"Rain, Partially cloudy"
5/22/2000,53.2,61.7,55.9,79.89,0,Partially cloudy
5/23/2000,51.9,60.6,55.8,64.22,0,Partially cloudy
5/24/2000,48.3,63.2,56.4,63.42,0,Partially cloudy
5/25/2000,46.7,61.7,54.6,64.01,0,Partially cloudy
5/26/2000,47.5,59.8,54.5,85.88,0.24,"Rain, Partially cloudy"
5/27/2000,53,61.6,57.5,77.04,0.18,"Rain, Partially cloudy"
5/28/2000,51.2,61,55.2,78.46,0.09,"Rain, Partially cloudy"
5/29/2000,51.1,60.4,55.1,75.03,0.12,"Rain, Partially cloudy"
5/30/2000,50.3,53.9,51.8,85.71,0.13,"Rain, Partially cloudy"
5/31/2000,50.9,57.7,53.9,82.52,0.04,"Rain, Partially cloudy"
6/1/2000,50.8,63.4,56.6,74.07,0,Partially cloudy
6/2/2000,52.5,65.5,58.1,65.91,0,Partially cloudy
6/3/2000,50.4,74.1,62.1,65.86,0,Partially cloudy
6/4/2000,57.7,75.7,66.3,63.85,0,Partially cloudy
6/5/2000,55.9,64.8,59.1,75.45,0.04,"Rain, Partially cloudy"
6/6/2000,54.5,61.1,56.9,86.63,0.13,"Rain, Partially cloudy"
6/7/2000,52.1,57.8,54.7,90.74,0.03,"Rain, Partially cloudy"
6/8/2000,52.3,60.3,55,83.4,0.09,"Rain, Partially cloudy"
6/9/2000,49.5,59.4,54,77,0.08,"Rain, Partially cloudy"
6/10/2000,49.3,57.6,52.3,77.61,0.04,"Rain, Partially cloudy"
6/11/2000,49.7,56.2,52.9,85.56,0.37,"Rain, Partially cloudy"
6/12/2000,54.3,63.8,57.9,82.78,0.66,"Rain, Partially cloudy"
6/13/2000,52.8,63.2,58.1,79.12,0.01,"Rain, Partially cloudy"
6/14/2000,55.3,61,59,84.92,0.01,"Rain, Partially cloudy"
6/15/2000,52.4,64.5,58.3,69.07,0,Partially cloudy
6/16/2000,51.9,69.7,61.1,66.49,0,Clear
6/17/2000,53.6,75.7,64.9,60.44,0,Partially cloudy
6/18/2000,55.8,62.8,58.9,80.16,0,Partially cloudy
6/19/2000,54,64,58.4,70.8,0,Partially cloudy
6/20/2000,51.9,68.2,60.4,72.8,0,Partially cloudy
6/21/2000,57.1,70.9,61.2,72.95,0,Partially cloudy
6/22/2000,53.7,66.5,59.8,67.83,0,Partially cloudy
6/23/2000,52.9,67.4,59.5,70.75,0,Partially cloudy
6/24/2000,55.6,67.7,60.6,72.41,0,Partially cloudy
6/25/2000,54.5,75.2,65.6,64.26,0,Clear
6/26/2000,59.8,78.7,69.7,56.82,0,Clear
6/27/2000,60.7,82.8,72.1,56.98,0,Partially cloudy
6/28/2000,63.8,81.9,71.9,60.92,0,Clear
6/29/2000,55,67.8,60.7,80.04,0,Partially cloudy
6/30/2000,55.4,63.1,59.6,74.36,0,Partially cloudy
7/1/2000,53.8,59.9,56.9,80.17,0.06,"Rain, Partially cloudy"
7/2/2000,53.2,61.6,56.6,72.98,0.04,"Rain, Partially cloudy"
7/3/2000,52.7,61.6,55.9,85.28,0.15,"Rain, Partially cloudy"
7/4/2000,53.8,64.7,59.1,70.23,0,Partially cloudy
7/5/2000,53,66.5,59.8,70.62,0,Partially cloudy
7/6/2000,55.6,68.2,61.5,72.57,0,Partially cloudy
7/7/2000,55.6,72.3,63,69.66,0,Clear
7/8/2000,54.6,66,60.3,80.69,0,Partially cloudy
7/9/2000,56.5,66.8,60.9,75.56,0,Partially cloudy
7/10/2000,55.2,66.4,60.3,83.45,0,Partially cloudy
7/11/2000,55.7,66.2,60.2,80.81,0,Partially cloudy
7/12/2000,55.1,69.8,61.7,73.06,0,Partially cloudy
7/13/2000,54.3,69.3,61.5,75.99,0,Partially cloudy
7/14/2000,56.7,64.7,60.6,67.02,0,Partially cloudy
7/15/2000,54.4,73.5,62.5,63.84,0,Clear
7/16/2000,56.6,73.1,65.7,67.96,0,Clear
7/17/2000,58.3,76.3,66.9,66.17,0,Partially cloudy
7/18/2000,57.2,67.4,61.5,76.69,0,Partially cloudy
7/19/2000,55.3,71.4,62.7,76.18,0,Clear
7/20/2000,57.1,75.3,64.6,80.09,0,Clear
7/21/2000,56.1,76.8,66.1,77.79,0,Partially cloudy
7/22/2000,57,62.6,60,87.97,0.13,"Rain, Partially cloudy"
7/23/2000,58.9,69.3,63.5,77.68,0,Partially cloudy
7/24/2000,56.1,73.3,63.4,79.09,0,Partially cloudy
7/25/2000,57.7,69.7,63.4,78.75,0,Partially cloudy
7/26/2000,57.3,71,63.2,72.3,0,Partially cloudy
7/27/2000,60,73.5,65.7,72.37,0,Partially cloudy
7/28/2000,62,69.1,64.7,83.54,0,Partially cloudy
7/29/2000,59.6,72.4,65.7,81.64,0,Partially cloudy
7/30/2000,59.4,76.8,68.2,74.62,0,Clear
7/31/2000,60.2,76.1,67.5,75.7,0,Partially cloudy
8/1/2000,60,71.1,64.4,72.29,0,Partially cloudy
8/2/2000,55.6,72.3,63.8,71.44,0,Clear
8/3/2000,55.7,74.8,64.9,72.09,0,Clear
8/4/2000,59.2,77.6,68.5,68.98,0,Clear
8/5/2000,56.6,75,64.9,80.14,0,Clear
8/6/2000,56.8,69.1,61.8,84.49,0,Partially cloudy
8/7/2000,58,68.2,62.2,83.62,0,Partially cloudy
8/8/2000,55.9,75.4,64.4,76.88,0,Clear
8/9/2000,56.4,69,61.8,82.7,0,Partially cloudy
8/10/2000,56.6,68.8,60.1,81.04,0,Partially cloudy
8/11/2000,55.7,66.3,59.8,72.36,0,Partially cloudy
8/12/2000,53.4,69.5,60.9,68.66,0,Clear
8/13/2000,52.1,69.7,59.7,76.18,0,Partially cloudy
8/14/2000,53.2,66.3,58.6,74.93,0,Clear
8/15/2000,53.4,64,58.2,76.82,0,Clear
8/16/2000,53.9,68.1,60.7,67.07,0,Clear
8/17/2000,52.3,70.2,60.8,67.17,0,Partially cloudy
8/18/2000,55.3,64.6,59.2,82.24,0.3,"Rain, Partially cloudy"
8/19/2000,56,65.1,59.7,78.41,0.02,"Rain, Partially cloudy"
8/20/2000,54.7,67.5,59.8,78.36,0.01,"Rain, Partially cloudy"
8/21/2000,53.2,66.4,59.4,80.47,0,Clear
8/22/2000,53.6,72.2,62.2,75.57,0,Clear
8/23/2000,56.3,76.7,66.5,65.77,0,Partially cloudy
8/24/2000,57.1,69.3,62.7,81.79,0,Partially cloudy
8/25/2000,59.3,70.3,63.5,78.61,0.01,"Rain, Partially cloudy"
8/26/2000,56.8,63.7,59.6,77.71,0.1,"Rain, Partially cloudy"
8/27/2000,54.9,63.3,58.7,70.55,0,Partially cloudy
8/28/2000,52.6,68.8,60.6,63.2,0,Clear
8/29/2000,53.2,64.6,58.7,82.46,0.04,"Rain, Partially cloudy"
8/30/2000,56.6,64.7,59.8,84.2,0,Partially cloudy
8/31/2000,54.9,63.5,58.5,74.71,0,Partially cloudy
9/1/2000,53.2,64.9,57.9,68.82,0.01,"Rain, Partially cloudy"
9/2/2000,52.6,63.6,56.8,78.35,0.03,"Rain, Partially cloudy"
9/3/2000,53.7,63.5,58,78.49,0.03,"Rain, Partially cloudy"
9/4/2000,51.9,67.5,58.3,76.94,0,Partially cloudy
9/5/2000,50,61.5,56.4,84.16,0,Partially cloudy
9/6/2000,56.6,65.5,59.5,84.53,0.01,"Rain, Partially cloudy"
9/7/2000,52,61.1,55.5,92.2,0.06,"Rain, Partially cloudy"
9/8/2000,54.6,62,58,79.07,0.03,"Rain, Partially cloudy"
9/9/2000,53.6,60.9,57.1,81.89,0.11,"Rain, Partially cloudy"
9/10/2000,54,60,56.7,90.63,0.25,"Rain, Partially cloudy"
9/11/2000,52.8,65.5,57.5,84.45,0.01,"Rain, Partially cloudy"
9/12/2000,52.2,71.6,60,72.18,0,Clear
